StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,8.00,"12,649.82","2,221,061.61",5.96,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-11
CA,0.12,190.56,"9,925.66",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-11
CA,7.73,"12,217.56","2,186,143.18",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-18
CA,0.12,190.56,"9,925.68",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-18
CA,7.73,"12,217.56","2,186,143.04",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-25
CA,0.12,190.56,"9,925.68",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-25
CA,7.73,"12,217.56","2,186,142.95",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-01
CA,0.12,190.56,"9,925.70",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-01
CA,7.73,"12,217.56","2,186,142.79",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-08
CA,0.12,190.56,"9,925.70",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-08
CA,7.73,"12,217.56","2,186,142.19",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-15
CA,0.16,245.95,"13,128.90",0.04,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-15
CA,6.97,"11,017.50","1,808,661.01",4.85,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-22
CA,0.06,100.80,"4,634.86",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-22
CA,6.77,"10,699.87","1,704,315.49",4.57,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-29
CA,0.05,84.32,"3,357.01",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-29
CA,15.21,"24,052.56","3,293,640.41",8.84,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-09-05
CA,2.62,"4,136.84","331,648.59",0.89,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-09-05
CA,0.13,206.05,"7,975.98",0.02,0.00,0.00,1,3,D2  ,California,"158,147.87",2006-09-05
CA,15.03,"23,774.46","3,205,648.14",8.60,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-09-12
CA,2.62,"4,136.84","331,648.37",0.89,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-09-12
CA,0.13,204.06,"7,898.89",0.02,0.00,0.00,1,3,D2  ,California,"158,147.87",2006-09-12
CA,15.03,"23,774.47","3,205,648.27",8.60,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-09-19
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-09-19
CA,15.03,"23,767.69","3,197,894.25",8.58,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-09-26
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-09-26
CA,14.85,"23,481.40","3,121,216.56",8.38,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-10-03
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-10-03
CA,14.85,"23,481.40","3,121,216.60",8.38,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-10-10
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-10-10
CA,15.43,"24,394.49","3,657,002.73",9.82,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-10-17
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-10-17
CA,15.43,"24,394.49","3,657,002.74",9.82,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-10-24
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-10-24
CA,15.43,"24,394.49","3,657,002.74",9.82,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-10-31
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-10-31
CA,15.43,"24,394.49","3,657,002.75",9.82,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-11-07
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-11-07
CA,15.43,"24,394.49","3,657,003.19",9.82,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-11-14
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-11-14
CA,22.36,"35,368.47","4,686,718.43",12.58,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-11-21
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-11-21
CA,22.28,"35,238.60","4,650,934.04",12.48,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-11-28
CA,0.82,"1,295.33","130,562.98",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-11-28
CA,55.97,"88,518.90","24,783,228.75",66.53,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-12-05
CA,0.79,"1,255.13","129,231.13",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-12-05
CA,50.21,"79,401.13","24,025,093.53",64.49,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-12-12
CA,0.79,"1,255.13","129,231.13",0.35,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-12-12
CA,59.65,"94,328.51","24,909,243.99",66.86,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-12-19
CA,11.64,"18,411.70","2,350,283.14",6.31,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-12-19
CA,59.65,"94,328.51","24,909,243.99",66.86,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-12-26
CA,11.64,"18,411.70","2,350,283.14",6.31,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-12-26
CA,59.27,"93,732.50","24,860,509.74",66.73,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-01-02
CA,26.77,"42,335.73","20,718,270.31",55.61,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-01-02
CA,65.03,"102,849.26","25,352,363.79",68.05,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-01-09
